wild_mut,ALTS910101,BENS940101,BENS940102,BENS940103,BENS940104,CSEM940101,DAYM780301,FEND850101,FITW660101,GEOD900101,GONG920101,GRAR740104,HENS920101,HENS920102,HENS920103,JOHM930101,JOND920103,JOND940101,KOLA920101,LEVJ860101,LUTR910101,LUTR910102,LUTR910103,LUTR910104,LUTR910105,LUTR910106,LUTR910107,LUTR910108,LUTR910109,MCLA710101,MCLA720101,MIYS930101,MIYT790101,MOHR870101,NIEK910101,NIEK910102,OVEJ920101,QU_C930101,QU_C930102,QU_C930103,RISJ880101,TUDE900101,AZAE970101,AZAE970102,RIER950101,WEIL970101,WEIL970102,MEHP950102,KAPO950101,VOGG950101,BLAJ010101,PRLA000101,PRLA000102,QUIB020101,NAOD960101,RUSR970101,RUSR970102,RUSR970103,OGAK980101,KANM000101,NGPC000101,MUET010101,MUET020101,MUET020102,CROG050101
IA,1.0,0.1,-0.4,-0.8,-1.8,-0.1,1.0,2.0,2.0,8.0,-0.8,94.0,1.0,2.0,3.0,-2.2,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,2.0,8.0,1.0,6.0,7.0,2.0,0.0,-0.45,2.69,9.0,-0.25,-0.26,2.0,0.476,0.888,5.0,1.7,17.0,6.0,3.0,91.0,0.0,1.0,1.11,17.2,4.4,0.0,-0.97,-1.72,0.3,2.0,1.0,0.0,1.0,-7.1,5.0,0.0,0.0,1.0,1.0,2.0
AI,1.0,0.1,-0.4,-0.8,-1.8,-0.1,1.0,2.0,2.0,8.0,-0.8,94.0,1.0,2.0,3.0,-2.2,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,2.0,8.0,1.0,6.0,7.0,2.0,0.0,-0.45,2.69,9.0,-0.25,-0.26,2.0,0.476,0.888,5.0,1.7,17.0,6.0,3.0,91.0,0.0,1.0,1.11,17.2,4.4,0.0,-0.97,-1.72,0.3,2.0,1.0,0.0,1.0,-7.1,5.0,0.0,0.0,1.0,1.0,2.0
IR,2.0,-3.8,-3.2,-2.6,-1.2,-0.29,2.0,2.0,2.0,3.0,-2.4,97.0,3.0,4.0,5.0,-5.4,3.0,3.0,0.0,1.0,4.0,4.0,3.0,1.0,2.0,14.0,6.0,6.0,9.0,1.0,0.0,-0.82,2.49,4.0,0.05,0.06,3.0,0.305,0.108,0.0,1.4,25.0,11.0,10.0,4.0,2.0,1.0,1.23,14.3,2.8,7.0,-1.4,-3.93,-1.9,7.0,1.0,0.0,1.0,-7.7,28.0,6.0,-5.5,4.0,2.0,3.0
RI,2.0,-3.8,-3.2,-2.6,-1.2,-0.29,2.0,2.0,2.0,3.0,-2.4,97.0,3.0,4.0,5.0,-5.4,3.0,3.0,0.0,1.0,4.0,4.0,3.0,1.0,2.0,14.0,6.0,6.0,9.0,1.0,0.0,-0.82,2.49,4.0,0.05,0.06,3.0,0.305,0.108,0.0,1.4,25.0,11.0,10.0,4.0,2.0,1.0,1.23,14.3,2.8,7.0,-1.4,-3.93,-1.9,7.0,1.0,0.0,1.0,-7.7,28.0,6.0,-5.5,4.0,2.0,3.0
IN,2.0,-2.5,-2.7,-2.8,0.9,-0.37,2.0,2.0,1.0,7.0,-2.8,149.0,2.0,5.0,6.0,-4.7,2.0,3.0,0.0,1.0,3.0,3.0,6.0,0.0,8.0,14.0,4.0,7.0,12.0,1.0,0.0,-0.83,3.37,5.0,-0.06,-0.07,3.0,0.452,-0.101,0.0,0.9,32.0,11.0,11.0,51.0,1.0,2.0,1.12,14.8,2.4,8.0,-2.43,-5.78,-2.4,9.0,4.0,8.0,7.0,-7.6,32.0,3.0,-4.0,4.0,3.0,5.0
NI,2.0,-2.5,-2.7,-2.8,0.9,-0.37,2.0,2.0,1.0,7.0,-2.8,149.0,2.0,5.0,6.0,-4.7,2.0,3.0,0.0,1.0,3.0,3.0,6.0,0.0,8.0,14.0,4.0,7.0,12.0,1.0,0.0,-0.83,3.37,5.0,-0.06,-0.07,3.0,0.452,-0.101,0.0,0.9,32.0,11.0,11.0,51.0,1.0,2.0,1.12,14.8,2.4,8.0,-2.43,-5.78,-2.4,9.0,4.0,8.0,7.0,-7.6,32.0,3.0,-4.0,4.0,3.0,5.0
ID,3.0,-4.2,-4.0,-3.9,-2.1,-0.54,2.0,1.0,2.0,3.0,-3.8,168.0,4.0,5.0,7.0,-4.8,3.0,3.0,0.0,1.0,7.0,6.0,9.0,13.0,10.0,22.0,9.0,12.0,17.0,0.0,0.0,-0.78,3.98,3.0,-0.28,-0.29,3.0,0.242,-0.185,0.0,0.0,39.0,14.0,12.0,23.0,4.0,1.0,1.06,13.7,1.4,9.0,-2.77,-6.18,-2.9,9.0,4.0,7.0,3.0,-8.3,34.0,5.0,-6.5,6.0,4.0,6.0
DI,3.0,-4.2,-4.0,-3.9,-2.1,-0.54,2.0,1.0,2.0,3.0,-3.8,168.0,4.0,5.0,7.0,-4.8,3.0,3.0,0.0,1.0,7.0,6.0,9.0,13.0,10.0,22.0,9.0,12.0,17.0,0.0,0.0,-0.78,3.98,3.0,-0.28,-0.29,3.0,0.242,-0.185,0.0,0.0,39.0,14.0,12.0,23.0,4.0,1.0,1.06,13.7,1.4,9.0,-2.77,-6.18,-2.9,9.0,4.0,7.0,3.0,-8.3,34.0,5.0,-6.5,6.0,4.0,6.0
IC,3.0,-3.6,-2.4,-1.2,-1.9,0.26,2.0,2.0,2.0,9.0,-1.1,198.0,3.0,2.0,2.0,-7.7,2.0,1.0,0.0,0.0,13.0,17.0,4.0,3.0,26.0,29.0,13.0,5.0,30.0,1.0,0.0,-0.13,1.63,8.0,-0.15,-0.16,4.0,-0.029,0.717,4.0,-1.6,12.0,2.0,4.0,93.0,0.0,1.0,0.96,20.9,4.1,3.0,0.13,-0.13,-3.2,4.0,1.0,1.0,4.0,-9.0,6.0,3.0,-0.5,1.0,0.0,1.0
CI,3.0,-3.6,-2.4,-1.2,-1.9,0.26,2.0,2.0,2.0,9.0,-1.1,198.0,3.0,2.0,2.0,-7.7,2.0,1.0,0.0,0.0,13.0,17.0,4.0,3.0,26.0,29.0,13.0,5.0,30.0,1.0,0.0,-0.13,1.63,8.0,-0.15,-0.16,4.0,-0.029,0.717,4.0,-1.6,12.0,2.0,4.0,93.0,0.0,1.0,0.96,20.9,4.1,3.0,0.13,-0.13,-3.2,4.0,1.0,1.0,4.0,-9.0,6.0,3.0,-0.5,1.0,0.0,1.0
