wild_mut,ALTS910101,BENS940101,BENS940102,BENS940103,BENS940104,CSEM940101,DAYM780301,FEND850101,FITW660101,GEOD900101,GONG920101,GRAR740104,HENS920101,HENS920102,HENS920103,JOHM930101,JOND920103,JOND940101,KOLA920101,LEVJ860101,LUTR910101,LUTR910102,LUTR910103,LUTR910104,LUTR910105,LUTR910106,LUTR910107,LUTR910108,LUTR910109,MCLA710101,MCLA720101,MIYS930101,MIYT790101,MOHR870101,NIEK910101,NIEK910102,OVEJ920101,QU_C930101,QU_C930102,QU_C930103,RISJ880101,TUDE900101,AZAE970101,AZAE970102,RIER950101,WEIL970101,WEIL970102,MEHP950102,KAPO950101,VOGG950101,BLAJ010101,PRLA000101,PRLA000102,QUIB020101,NAOD960101,RUSR970101,RUSR970102,RUSR970103,OGAK980101,KANM000101,NGPC000101,MUET010101,MUET020101,MUET020102,CROG050101
QL,2.0,-2.4,-2.0,-1.7,0.1,-0.3,2.0,2.0,1.0,7.0,-1.6,113.0,2.0,3.0,4.0,-4.4,2.0,2.0,9.0,1.0,2.0,12.0,13.0,7.0,13.0,9.0,6.0,14.0,12.0,3.0,0.0,-0.74,2.7,9.0,0.29,0.35,3.0,0.251,0.439,3.0,1.1,26.0,9.0,9.0,57.0,0.0,2.0,1.07,13.3,3.6,10.0,-1.49,-4.56,-1.2,5.0,2.0,5.0,2.0,-7.4,23.0,3.0,-3.5,2.0,2.0,3.0
LE,4.0,-5.0,-4.4,-3.1,-2.5,-0.45,3.0,1.0,2.0,3.0,-2.8,138.0,2.0,4.0,6.0,-5.6,4.0,5.0,5.0,1.0,4.0,14.0,16.0,10.0,13.0,21.0,8.0,18.0,14.0,1.0,0.0,-0.8,3.53,7.0,0.57,0.62,4.0,0.291,-0.223,0.0,0.9,40.0,8.0,7.0,31.0,3.0,0.0,1.12,11.4,2.4,8.0,-2.11,-5.62,-1.5,6.0,1.0,2.0,0.0,-7.4,31.0,5.0,-7.0,4.0,3.0,4.0
EL,4.0,-5.0,-4.4,-3.1,-2.5,-0.45,3.0,1.0,2.0,3.0,-2.8,138.0,2.0,4.0,6.0,-5.6,4.0,5.0,5.0,1.0,4.0,14.0,16.0,10.0,13.0,21.0,8.0,18.0,14.0,1.0,0.0,-0.8,3.53,7.0,0.57,0.62,4.0,0.291,-0.223,0.0,0.9,40.0,8.0,7.0,31.0,3.0,0.0,1.12,11.4,2.4,8.0,-2.11,-5.62,-1.5,6.0,1.0,2.0,0.0,-7.4,31.0,5.0,-7.0,4.0,3.0,4.0
LG,5.0,-4.6,-4.9,-4.6,-2.2,-0.14,4.0,2.0,1.0,7.0,-4.4,138.0,3.0,5.0,7.0,-7.2,4.0,4.0,0.0,1.0,17.0,32.0,15.0,21.0,21.0,9.0,22.0,19.0,15.0,1.0,0.0,-0.56,3.67,6.0,-0.54,-0.56,5.0,0.327,0.0,1.0,-0.2,16.0,9.0,8.0,89.0,1.0,3.0,1.09,11.5,0.8,6.0,-1.98,-6.55,-3.8,6.0,2.0,4.0,2.0,-8.0,42.0,2.0,-2.0,6.0,4.0,5.0
GL,5.0,-4.6,-4.9,-4.6,-2.2,-0.14,4.0,2.0,1.0,7.0,-4.4,138.0,3.0,5.0,7.0,-7.2,4.0,4.0,0.0,1.0,17.0,32.0,15.0,21.0,21.0,9.0,22.0,19.0,15.0,1.0,0.0,-0.56,3.67,6.0,-0.54,-0.56,5.0,0.327,0.0,1.0,-0.2,16.0,9.0,8.0,89.0,1.0,3.0,1.09,11.5,0.8,6.0,-1.98,-6.55,-3.8,6.0,2.0,4.0,2.0,-8.0,42.0,2.0,-2.0,6.0,4.0,5.0
LH,3.0,-2.2,-2.1,-1.9,-0.1,-0.12,2.0,3.0,1.0,8.0,-1.9,99.0,2.0,4.0,5.0,-4.2,2.0,4.0,0.0,1.0,6.0,18.0,12.0,10.0,9.0,15.0,10.0,14.0,13.0,2.0,0.0,-0.5,2.59,10.0,-0.09,-0.13,3.0,0.457,0.289,2.0,-0.9,9.0,5.0,4.0,64.0,1.0,2.0,1.07,9.07,3.3,4.0,-0.93,-2.49,-2.4,3.0,3.0,0.0,2.0,-8.1,27.0,4.0,-4.0,3.0,2.0,3.0
HL,3.0,-2.2,-2.1,-1.9,-0.1,-0.12,2.0,3.0,1.0,8.0,-1.9,99.0,2.0,4.0,5.0,-4.2,2.0,4.0,0.0,1.0,6.0,18.0,12.0,10.0,9.0,15.0,10.0,14.0,13.0,2.0,0.0,-0.5,2.59,10.0,-0.09,-0.13,3.0,0.457,0.289,2.0,-0.9,9.0,5.0,4.0,64.0,1.0,2.0,1.07,9.07,3.3,4.0,-0.93,-2.49,-2.4,3.0,3.0,0.0,2.0,-8.1,27.0,4.0,-4.0,3.0,2.0,3.0
LI,1.0,2.4,2.7,2.8,1.2,0.6,2.0,5.0,1.0,10.0,2.8,5.0,2.0,2.0,2.0,2.6,2.0,1.0,0.0,0.0,19.0,9.0,13.0,0.0,16.0,11.0,19.0,7.0,13.0,5.0,3.0,0.48,0.14,10.0,0.25,0.27,2.0,0.57,0.96,6.0,2.1,46.0,8.0,8.0,98.0,1.0,1.0,1.21,21.0,8.0,7.0,1.56,3.86,3.4,7.0,3.0,7.0,5.0,-5.5,28.0,2.0,3.5,3.0,3.0,2.0
IL,1.0,2.4,2.7,2.8,1.2,0.6,2.0,5.0,1.0,10.0,2.8,5.0,2.0,2.0,2.0,2.6,2.0,1.0,0.0,0.0,19.0,9.0,13.0,0.0,16.0,11.0,19.0,7.0,13.0,5.0,3.0,0.48,0.14,10.0,0.25,0.27,2.0,0.57,0.96,6.0,2.1,46.0,8.0,8.0,98.0,1.0,1.0,1.21,21.0,8.0,7.0,1.56,3.86,3.4,7.0,3.0,7.0,5.0,-5.5,28.0,2.0,3.5,3.0,3.0,2.0
LL,5.0,4.8,4.6,4.2,3.4,1.0,6.0,6.0,0.0,10.0,4.0,0.0,5.0,6.0,6.0,7.3,5.0,3.0,10.0,2.0,45.0,37.0,54.0,25.0,42.0,25.0,48.0,45.0,34.0,8.0,5.0,0.61,0.0,16.0,1.0,1.0,5.0,1.0,1.0,8.0,2.2,100.0,9.0,10.0,100.0,4.0,0.0,1.12,24.8,9.2,10.0,2.43,6.38,5.2,9.0,3.0,2.0,0.0,-4.0,32.0,4.0,5.0,6.0,4.0,5.0
KA,2.0,-1.9,-1.0,-0.4,-1.9,-0.07,1.0,3.0,2.0,5.0,-0.4,106.0,1.0,1.0,1.0,-0.9,1.0,2.0,6.6,0.0,1.0,6.0,10.0,1.0,6.0,4.0,1.0,6.0,3.0,3.0,0.0,-0.2,2.96,10.0,0.55,0.6,1.0,0.398,0.281,2.0,1.4,2.0,1.0,1.0,35.0,1.0,0.0,0.65,17.1,4.8,0.0,-0.38,-1.22,-0.2,0.0,1.0,1.0,1.0,-6.7,10.0,7.0,-5.5,1.0,1.0,2.0
AK,2.0,-1.9,-1.0,-0.4,-1.9,-0.07,1.0,3.0,2.0,5.0,-0.4,106.0,1.0,1.0,1.0,-0.9,1.0,2.0,6.6,0.0,1.0,6.0,10.0,1.0,6.0,4.0,1.0,6.0,3.0,3.0,0.0,-0.2,2.96,10.0,0.55,0.6,1.0,0.398,0.281,2.0,1.4,2.0,1.0,1.0,35.0,1.0,0.0,0.65,17.1,4.8,0.0,-0.38,-1.22,-0.2,0.0,1.0,1.0,1.0,-6.7,10.0,7.0,-5.5,1.0,1.0,2.0
KR,2.0,4.3,3.9,2.9,-0.2,0.47,3.0,5.0,1.0,10.0,2.7,26.0,3.0,3.0,3.0,3.2,4.0,9.0,9.0,1.0,6.0,10.0,5.0,22.0,9.0,22.0,7.0,9.0,14.0,5.0,3.0,0.04,0.4,11.0,0.14,0.21,2.0,0.236,0.872,6.0,2.1,24.0,21.0,14.0,78.0,2.0,0.0,0.84,21.9,7.9,7.0,1.42,3.89,3.4,9.0,4.0,6.0,3.0,-6.6,31.0,1.0,-0.5,4.0,3.0,2.0
RK,2.0,4.3,3.9,2.9,-0.2,0.47,3.0,5.0,1.0,10.0,2.7,26.0,3.0,3.0,3.0,3.2,4.0,9.0,9.0,1.0,6.0,10.0,5.0,22.0,9.0,22.0,7.0,9.0,14.0,5.0,3.0,0.04,0.4,11.0,0.14,0.21,2.0,0.236,0.872,6.0,2.1,24.0,21.0,14.0,78.0,2.0,0.0,0.84,21.9,7.9,7.0,1.42,3.89,3.4,9.0,4.0,6.0,3.0,-6.6,31.0,1.0,-0.5,4.0,3.0,2.0
KN,1.0,1.0,1.0,0.9,3.5,0.22,1.0,4.0,1.0,6.0,0.8,94.0,0.0,0.0,0.0,0.1,1.0,5.0,0.0,1.0,1.0,10.0,2.0,6.0,1.0,16.0,2.0,3.0,7.0,4.0,0.0,0.38,1.84,11.0,-0.19,-0.22,0.0,0.208,0.49,2.0,1.0,17.0,12.0,10.0,75.0,0.0,0.0,0.72,17.7,6.0,2.0,0.83,1.64,1.6,6.0,1.0,1.0,0.0,-6.8,1.0,2.0,-3.5,0.0,1.0,0.0
NK,1.0,1.0,1.0,0.9,3.5,0.22,1.0,4.0,1.0,6.0,0.8,94.0,0.0,0.0,0.0,0.1,1.0,5.0,0.0,1.0,1.0,10.0,2.0,6.0,1.0,16.0,2.0,3.0,7.0,4.0,0.0,0.38,1.84,11.0,-0.19,-0.22,0.0,0.208,0.49,2.0,1.0,17.0,12.0,10.0,75.0,0.0,0.0,0.72,17.7,6.0,2.0,0.83,1.64,1.6,6.0,1.0,1.0,0.0,-6.8,1.0,2.0,-3.5,0.0,1.0,0.0
KD,1.0,-0.2,0.2,0.4,0.3,0.18,0.0,3.0,2.0,9.0,0.5,101.0,0.0,1.0,2.0,-1.5,0.0,3.0,5.0,0.0,2.0,13.0,4.0,9.0,2.0,30.0,1.0,2.0,8.0,3.0,0.0,0.16,2.05,11.0,0.13,0.14,1.0,0.184,-0.064,0.0,0.1,10.0,16.0,11.0,98.0,1.0,0.0,0.64,18.2,5.7,0.0,0.66,1.53,1.4,7.0,0.0,1.0,2.0,-6.9,4.0,5.0,-5.0,0.0,0.0,0.0
DK,1.0,-0.2,0.2,0.4,0.3,0.18,0.0,3.0,2.0,9.0,0.5,101.0,0.0,1.0,2.0,-1.5,0.0,3.0,5.0,0.0,2.0,13.0,4.0,9.0,2.0,30.0,1.0,2.0,8.0,3.0,0.0,0.16,2.05,11.0,0.13,0.14,1.0,0.184,-0.064,0.0,0.1,10.0,16.0,11.0,98.0,1.0,0.0,0.64,18.2,5.7,0.0,0.66,1.53,1.4,7.0,0.0,1.0,2.0,-6.9,4.0,5.0,-5.0,0.0,0.0,0.0
KC,7.0,-2.8,-3.3,-2.9,-3.2,-0.43,5.0,0.0,3.0,4.0,-2.8,202.0,3.0,5.0,6.0,-8.7,3.0,3.0,0.0,0.0,16.0,22.0,4.0,2.0,32.0,2.0,19.0,6.0,23.0,0.0,0.0,-0.81,3.27,9.0,-0.25,-0.31,4.0,0.054,0.002,0.0,-1.6,14.0,11.0,10.0,33.0,2.0,1.0,0.79,9.83,2.4,23.0,-2.19,-6.65,3.0,7.0,1.0,0.0,2.0,-8.5,29.0,10.0,-7.0,4.0,2.0,4.0
CK,7.0,-2.8,-3.3,-2.9,-3.2,-0.43,5.0,0.0,3.0,4.0,-2.8,202.0,3.0,5.0,6.0,-8.7,3.0,3.0,0.0,0.0,16.0,22.0,4.0,2.0,32.0,2.0,19.0,6.0,23.0,0.0,0.0,-0.81,3.27,9.0,-0.25,-0.31,4.0,0.054,0.002,0.0,-1.6,14.0,11.0,10.0,33.0,2.0,1.0,0.79,9.83,2.4,23.0,-2.19,-6.65,3.0,7.0,1.0,0.0,2.0,-8.5,29.0,10.0,-7.0,4.0,2.0,4.0
KQ,0.0,2.5,2.2,1.7,2.2,0.52,1.0,4.0,1.0,6.0,1.5,53.0,1.0,2.0,2.0,1.1,2.0,6.0,9.0,0.0,5.0,10.0,1.0,9.0,4.0,22.0,6.0,4.0,12.0,4.0,1.0,0.3,1.06,12.0,0.16,0.23,1.0,0.323,0.377,1.0,1.7,26.0,22.0,16.0,71.0,0.0,1.0,0.75,22.0,6.7,4.0,0.92,3.24,2.2,7.0,3.0,4.0,4.0,-6.7,15.0,1.0,-2.0,2.0,2.0,1.0
QK,0.0,2.5,2.2,1.7,2.2,0.52,1.0,4.0,1.0,6.0,1.5,53.0,1.0,2.0,2.0,1.1,2.0,6.0,9.0,0.0,5.0,10.0,1.0,9.0,4.0,22.0,6.0,4.0,12.0,4.0,1.0,0.3,1.06,12.0,0.16,0.23,1.0,0.323,0.377,1.0,1.7,26.0,22.0,16.0,71.0,0.0,1.0,0.75,22.0,6.7,4.0,0.92,3.24,2.2,7.0,3.0,4.0,4.0,-6.7,15.0,1.0,-2.0,2.0,2.0,1.0
KE,1.0,0.9,1.0,1.2,2.0,0.54,0.0,4.0,1.0,9.0,1.2,56.0,1.0,1.0,1.0,1.1,1.0,1.0,9.0,0.0,3.0,13.0,4.0,14.0,2.0,10.0,5.0,3.0,10.0,4.0,0.0,0.25,1.14,11.0,0.5,0.58,1.0,0.247,-0.051,1.0,1.4,24.0,17.0,13.0,96.0,1.0,2.0,0.78,19.2,6.4,6.0,1.11,3.08,1.2,9.0,2.0,4.0,3.0,-6.7,14.0,4.0,-7.5,1.0,1.0,1.0
EK,1.0,0.9,1.0,1.2,2.0,0.54,0.0,4.0,1.0,9.0,1.2,56.0,1.0,1.0,1.0,1.1,1.0,1.0,9.0,0.0,3.0,13.0,4.0,14.0,2.0,10.0,5.0,3.0,10.0,4.0,0.0,0.25,1.14,11.0,0.5,0.58,1.0,0.247,-0.051,1.0,1.4,24.0,17.0,13.0,96.0,1.0,2.0,0.78,19.2,6.4,6.0,1.11,3.08,1.2,9.0,2.0,4.0,3.0,-6.7,14.0,4.0,-7.5,1.0,1.0,1.0
KG,3.0,-1.4,-1.0,-1.1,-2.2,-0.23,2.0,2.0,2.0,5.0,-1.1,127.0,2.0,2.0,3.0,-3.5,1.0,1.0,0.0,0.0,15.0,2.0,4.0,2.0,1.0,2.0,12.0,1.0,0.0,3.0,0.0,-0.16,3.54,7.0,-0.34,-0.38,3.0,0.006,0.0,1.0,-0.1,11.0,1.0,0.0,39.0,1.0,1.0,0.76,15.6,4.1,0.0,-0.71,-1.82,0.4,0.0,2.0,0.0,1.0,-6.8,18.0,5.0,-4.5,2.0,1.0,2.0
GK,3.0,-1.4,-1.0,-1.1,-2.2,-0.23,2.0,2.0,2.0,5.0,-1.1,127.0,2.0,2.0,3.0,-3.5,1.0,1.0,0.0,0.0,15.0,2.0,4.0,2.0,1.0,2.0,12.0,1.0,0.0,3.0,0.0,-0.16,3.54,7.0,-0.34,-0.38,3.0,0.006,0.0,1.0,-0.1,11.0,1.0,0.0,39.0,1.0,1.0,0.76,15.6,4.1,0.0,-0.71,-1.82,0.4,0.0,2.0,0.0,1.0,-6.8,18.0,5.0,-4.5,2.0,1.0,2.0
KH,2.0,0.9,0.8,0.6,0.6,-0.09,0.0,3.0,2.0,5.0,0.6,32.0,1.0,1.0,1.0,0.1,1.0,4.0,0.0,0.0,8.0,6.0,6.0,9.0,19.0,14.0,6.0,2.0,1.0,4.0,0.0,0.14,0.79,11.0,-0.23,-0.26,0.0,0.072,0.488,3.0,-1.0,4.0,3.0,2.0,64.0,0.0,1.0,0.82,15.5,5.8,1.0,0.31,-0.17,1.1,1.0,2.0,1.0,3.0,-7.6,7.0,5.0,-5.5,0.0,0.0,1.0
HK,2.0,0.9,0.8,0.6,0.6,-0.09,0.0,3.0,2.0,5.0,0.6,32.0,1.0,1.0,1.0,0.1,1.0,4.0,0.0,0.0,8.0,6.0,6.0,9.0,19.0,14.0,6.0,2.0,1.0,4.0,0.0,0.14,0.79,11.0,-0.23,-0.26,0.0,0.072,0.488,3.0,-1.0,4.0,3.0,2.0,64.0,0.0,1.0,0.82,15.5,5.8,1.0,0.31,-0.17,1.1,1.0,2.0,1.0,3.0,-7.6,7.0,5.0,-5.5,0.0,0.0,1.0
KI,2.0,-3.8,-3.0,-2.3,0.7,-0.4,2.0,2.0,2.0,3.0,-2.1,102.0,3.0,4.0,5.0,-4.7,3.0,4.0,0.0,1.0,10.0,5.0,11.0,1.0,9.0,13.0,11.0,12.0,14.0,1.0,0.0,-1.01,2.84,4.0,-0.17,-0.18,3.0,0.088,0.099,1.0,1.0,17.0,13.0,12.0,26.0,2.0,1.0,1.11,14.2,3.1,7.0,-1.81,-4.82,-1.5,9.0,4.0,6.0,5.0,-8.1,31.0,7.0,-5.5,4.0,2.0,4.0
IK,2.0,-3.8,-3.0,-2.3,0.7,-0.4,2.0,2.0,2.0,3.0,-2.1,102.0,3.0,4.0,5.0,-4.7,3.0,4.0,0.0,1.0,10.0,5.0,11.0,1.0,9.0,13.0,11.0,12.0,14.0,1.0,0.0,-1.01,2.84,4.0,-0.17,-0.18,3.0,0.088,0.099,1.0,1.0,17.0,13.0,12.0,26.0,2.0,1.0,1.11,14.2,3.1,7.0,-1.81,-4.82,-1.5,9.0,4.0,6.0,5.0,-8.1,31.0,7.0,-5.5,4.0,2.0,4.0
KL,4.0,-4.1,-3.3,-2.4,-2.0,-0.34,3.0,2.0,2.0,3.0,-2.1,107.0,3.0,4.0,4.0,-3.4,3.0,4.0,9.0,1.0,11.0,15.0,21.0,8.0,14.0,11.0,15.0,21.0,13.0,2.0,0.0,-1.06,2.98,7.0,0.31,0.36,2.0,-0.08,-0.004,0.0,0.7,33.0,10.0,9.0,27.0,2.0,0.0,0.99,12.1,3.1,4.0,-1.96,-5.91,2.0,7.0,0.0,4.0,2.0,-7.2,21.0,7.0,-6.0,3.0,2.0,3.0
LK,4.0,-4.1,-3.3,-2.4,-2.0,-0.34,3.0,2.0,2.0,3.0,-2.1,107.0,3.0,4.0,4.0,-3.4,3.0,4.0,9.0,1.0,11.0,15.0,21.0,8.0,14.0,11.0,15.0,21.0,13.0,2.0,0.0,-1.06,2.98,7.0,0.31,0.36,2.0,-0.08,-0.004,0.0,0.7,33.0,10.0,9.0,27.0,2.0,0.0,0.99,12.1,3.1,4.0,-1.96,-5.91,2.0,7.0,0.0,4.0,2.0,-7.2,21.0,7.0,-6.0,3.0,2.0,3.0
KK,5.0,5.6,4.4,3.4,5.6,1.0,5.0,6.0,0.0,10.0,3.2,0.0,5.0,7.0,8.0,7.6,5.0,12.0,10.0,2.0,39.0,31.0,32.0,33.0,30.0,35.0,38.0,34.0,34.0,8.0,5.0,0.49,0.0,16.0,1.0,1.0,5.0,1.0,1.0,8.0,2.2,100.0,28.0,20.0,100.0,4.0,1.0,0.78,26.4,8.4,9.0,2.91,8.23,3.9,13.0,0.0,2.0,1.0,-5.5,37.0,5.0,6.0,5.0,3.0,5.0
MA,2.0,-0.2,-0.8,-0.8,-2.0,0.15,1.0,2.0,2.0,9.0,-0.7,84.0,1.0,1.0,2.0,-1.5,1.0,1.0,5.0,0.0,1.0,6.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,-0.47,2.42,11.0,0.39,0.43,0.0,0.207,0.858,5.0,1.0,2.0,2.0,1.0,89.0,1.0,2.0,0.97,16.2,4.5,2.0,-0.04,0.16,-0.2,0.0,4.0,0.0,2.0,-8.0,9.0,1.0,0.0,1.0,1.0,1.0
AM,2.0,-0.2,-0.8,-0.8,-2.0,0.15,1.0,2.0,2.0,9.0,-0.7,84.0,1.0,1.0,2.0,-1.5,1.0,1.0,5.0,0.0,1.0,6.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,-0.47,2.42,11.0,0.39,0.43,0.0,0.207,0.858,5.0,1.0,2.0,2.0,1.0,89.0,1.0,2.0,0.97,16.2,4.5,2.0,-0.04,0.16,-0.2,0.0,4.0,0.0,2.0,-8.0,9.0,1.0,0.0,1.0,1.0,1.0
MR,1.0,-3.0,-2.1,-1.8,-0.4,-0.17,0.0,2.0,1.0,3.0,-1.7,91.0,1.0,2.0,3.0,-4.2,2.0,0.0,9.0,1.0,0.0,6.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,-0.83,2.29,6.0,-0.1,-0.09,4.0,0.374,0.058,0.0,1.1,0.0,1.0,2.0,2.0,0.0,1.0,1.14,15.5,3.5,8.0,-0.63,-1.43,-1.4,2.0,5.0,0.0,0.0,-7.8,10.0,6.0,-4.0,2.0,1.0,2.0
RM,1.0,-3.0,-2.1,-1.8,-0.4,-0.17,0.0,2.0,1.0,3.0,-1.7,91.0,1.0,2.0,3.0,-4.2,2.0,0.0,9.0,1.0,0.0,6.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,-0.83,2.29,6.0,-0.1,-0.09,4.0,0.374,0.058,0.0,1.1,0.0,1.0,2.0,2.0,0.0,1.0,1.14,15.5,3.5,8.0,-0.63,-1.43,-1.4,2.0,5.0,0.0,0.0,-7.8,10.0,6.0,-4.0,2.0,1.0,2.0
MN,3.0,-2.5,-2.6,-2.2,0.1,-0.11,2.0,1.0,2.0,8.0,-2.2,142.0,2.0,3.0,4.0,-3.7,2.0,2.0,0.0,1.0,1.0,8.0,5.0,0.0,3.0,3.0,3.0,5.0,2.0,2.0,0.0,-0.97,3.08,6.0,-0.13,-0.13,2.0,0.438,-0.09,0.0,0.0,12.0,3.0,4.0,49.0,0.0,2.0,0.92,13.7,3.0,6.0,-2.01,-4.67,-2.1,3.0,1.0,3.0,3.0,-7.4,19.0,2.0,-3.0,3.0,2.0,3.0
NM,3.0,-2.5,-2.6,-2.2,0.1,-0.11,2.0,1.0,2.0,8.0,-2.2,142.0,2.0,3.0,4.0,-3.7,2.0,2.0,0.0,1.0,1.0,8.0,5.0,0.0,3.0,3.0,3.0,5.0,2.0,2.0,0.0,-0.97,3.08,6.0,-0.13,-0.13,2.0,0.438,-0.09,0.0,0.0,12.0,3.0,4.0,49.0,0.0,2.0,0.92,13.7,3.0,6.0,-2.01,-4.67,-2.1,3.0,1.0,3.0,3.0,-7.4,19.0,2.0,-3.0,3.0,2.0,3.0
MD,4.0,-4.3,-3.9,-3.2,-2.5,-0.25,3.0,0.0,3.0,4.0,-3.0,160.0,3.0,5.0,6.0,-5.9,3.0,3.0,0.0,1.0,7.0,13.0,7.0,11.0,7.0,5.0,9.0,9.0,5.0,2.0,0.0,-0.9,3.69,5.0,-0.09,-0.08,4.0,-0.295,-0.109,0.0,-0.5,16.0,7.0,6.0,21.0,1.0,2.0,0.93,15.5,2.2,7.0,-2.58,-7.88,-2.8,4.0,1.0,6.0,2.0,-8.2,30.0,5.0,-6.0,5.0,3.0,4.0
DM,4.0,-4.3,-3.9,-3.2,-2.5,-0.25,3.0,0.0,3.0,4.0,-3.0,160.0,3.0,5.0,6.0,-5.9,3.0,3.0,0.0,1.0,7.0,13.0,7.0,11.0,7.0,5.0,9.0,9.0,5.0,2.0,0.0,-0.9,3.69,5.0,-0.09,-0.08,4.0,-0.295,-0.109,0.0,-0.5,16.0,7.0,6.0,21.0,1.0,2.0,0.93,15.5,2.2,7.0,-2.58,-7.88,-2.8,4.0,1.0,6.0,2.0,-8.2,30.0,5.0,-6.0,5.0,3.0,4.0
MC,6.0,-3.7,-2.5,-1.2,-2.7,0.1,5.0,2.0,3.0,10.0,-0.9,196.0,2.0,2.0,3.0,-4.4,2.0,1.0,0.0,0.0,3.0,17.0,4.0,0.0,17.0,23.0,7.0,3.0,28.0,3.0,0.0,-0.29,1.46,10.0,-0.25,-0.29,5.0,-0.006,0.912,5.0,-1.6,2.0,0.0,1.0,91.0,1.0,2.0,0.97,19.8,4.3,9.0,1.04,3.5,-1.3,2.0,3.0,1.0,1.0,-8.7,8.0,2.0,1.0,1.0,0.0,1.0
CM,6.0,-3.7,-2.5,-1.2,-2.7,0.1,5.0,2.0,3.0,10.0,-0.9,196.0,2.0,2.0,3.0,-4.4,2.0,1.0,0.0,0.0,3.0,17.0,4.0,0.0,17.0,23.0,7.0,3.0,28.0,3.0,0.0,-0.29,1.46,10.0,-0.25,-0.29,5.0,-0.006,0.912,5.0,-1.6,2.0,0.0,1.0,91.0,1.0,2.0,0.97,19.8,4.3,9.0,1.04,3.5,-1.3,2.0,3.0,1.0,1.0,-8.7,8.0,2.0,1.0,1.0,0.0,1.0
MQ,1.0,-3.1,-1.7,-1.0,-1.2,-0.18,1.0,2.0,2.0,8.0,-1.0,101.0,0.0,1.0,1.0,-0.6,2.0,2.0,5.0,1.0,0.0,5.0,0.0,1.0,5.0,4.0,2.0,2.0,3.0,3.0,0.0,-0.97,2.3,9.0,0.22,0.22,1.0,0.211,0.45,2.0,1.2,12.0,2.0,3.0,53.0,1.0,1.0,0.97,17.8,4.2,8.0,-0.13,-1.76,-0.6,2.0,1.0,0.0,0.0,-8.5,1.0,1.0,-1.5,1.0,1.0,2.0
QM,1.0,-3.1,-1.7,-1.0,-1.2,-0.18,1.0,2.0,2.0,8.0,-1.0,101.0,0.0,1.0,1.0,-0.6,2.0,2.0,5.0,1.0,0.0,5.0,0.0,1.0,5.0,4.0,2.0,2.0,3.0,3.0,0.0,-0.97,2.3,9.0,0.22,0.22,1.0,0.211,0.45,2.0,1.2,12.0,2.0,3.0,53.0,1.0,1.0,0.97,17.8,4.2,8.0,-0.13,-1.76,-0.6,2.0,1.0,0.0,0.0,-8.5,1.0,1.0,-1.5,1.0,1.0,2.0
ME,4.0,-4.1,-3.4,-2.2,-1.8,-0.14,2.0,1.0,2.0,4.0,-2.0,126.0,2.0,3.0,4.0,-2.8,3.0,3.0,0.0,1.0,4.0,12.0,5.0,3.0,5.0,5.0,7.0,7.0,3.0,1.0,0.0,-0.87,3.13,8.0,0.36,0.38,2.0,0.128,-0.18,0.0,0.6,17.0,1.0,0.0,27.0,1.0,1.0,0.96,15.2,3.2,6.0,-1.86,-3.94,2.0,2.0,3.0,3.0,1.0,-8.1,21.0,5.0,-6.0,3.0,2.0,3.0
EM,4.0,-4.1,-3.4,-2.2,-1.8,-0.14,2.0,1.0,2.0,4.0,-2.0,126.0,2.0,3.0,4.0,-2.8,3.0,3.0,0.0,1.0,4.0,12.0,5.0,3.0,5.0,5.0,7.0,7.0,3.0,1.0,0.0,-0.87,3.13,8.0,0.36,0.38,2.0,0.128,-0.18,0.0,0.6,17.0,1.0,0.0,27.0,1.0,1.0,0.96,15.2,3.2,6.0,-1.86,-3.94,2.0,2.0,3.0,3.0,1.0,-8.1,21.0,5.0,-6.0,3.0,2.0,3.0
MG,4.0,-3.7,-3.8,-3.5,-2.3,-0.01,3.0,1.0,2.0,8.0,-3.5,127.0,2.0,4.0,5.0,-5.2,3.0,3.0,0.0,1.0,11.0,32.0,5.0,6.0,2.0,4.0,15.0,6.0,2.0,1.0,0.0,-0.61,3.34,4.0,-0.29,-0.3,4.0,0.326,0.0,2.0,-0.4,10.0,3.0,5.0,85.0,0.0,3.0,1.18,15.0,1.7,7.0,-1.86,-5.29,-3.8,3.0,1.0,3.0,0.0,-8.2,30.0,1.0,-1.5,5.0,3.0,4.0
GM,4.0,-3.7,-3.8,-3.5,-2.3,-0.01,3.0,1.0,2.0,8.0,-3.5,127.0,2.0,4.0,5.0,-5.2,3.0,3.0,0.0,1.0,11.0,32.0,5.0,6.0,2.0,4.0,15.0,6.0,2.0,1.0,0.0,-0.61,3.34,4.0,-0.29,-0.3,4.0,0.326,0.0,2.0,-0.4,10.0,3.0,5.0,85.0,0.0,3.0,1.18,15.0,1.7,7.0,-1.86,-5.29,-3.8,3.0,1.0,3.0,0.0,-8.2,30.0,1.0,-1.5,5.0,3.0,4.0
